City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
507,Nueve De Julio,-35.4444,-60.8831,89.8,17,70,7.52,AR,2022-01-09 23:23:00
508,Hayden,47.766,-116.7866,39.4,73,0,8.05,US,2022-01-09 23:27:00
509,Mbandaka,0.0487,18.2603,79.48,57,90,3.89,CD,2022-01-09 23:27:01
510,Richards Bay,-28.783,32.0377,69.87,84,10,6.55,ZA,2022-01-09 23:27:01
511,Bannu,32.9854,70.6027,49.89,68,0,1.79,PK,2022-01-09 23:27:02
512,Vao,-22.6667,167.4833,77.38,81,89,23.17,NC,2022-01-09 23:27:02
513,Miramas,43.5833,5.0,46.99,81,0,6.91,FR,2022-01-09 23:27:02
514,Bardiyah,31.7561,25.0865,55.22,62,18,23.94,LY,2022-01-09 23:27:03
515,Lewistown,40.5992,-77.5714,42.76,100,75,0.0,US,2022-01-09 23:27:03
516,Rocha,-34.4833,-54.3333,70.88,73,0,14.36,UY,2022-01-09 23:27:03
517,Asfi,32.2994,-9.2372,56.32,54,38,17.29,MA,2022-01-09 23:27:04
518,Necochea,-38.5473,-58.7368,87.24,22,95,9.82,AR,2022-01-09 23:27:04
519,Bedford,52.1346,-0.4663,39.69,91,88,6.46,GB,2022-01-09 23:27:04
520,Oranjemund,-28.55,16.4333,64.98,94,10,3.58,NA,2022-01-09 23:27:05
521,Yako,12.9667,-2.2667,68.76,13,8,9.06,BF,2022-01-09 23:27:05
522,Gobabis,-22.45,18.9667,68.16,77,23,11.61,NA,2022-01-09 23:27:05
523,Tadine,-21.55,167.8833,80.4,77,8,22.32,NC,2022-01-09 23:27:06
524,Kalmar,56.6616,16.3616,34.97,92,75,3.44,SE,2022-01-09 23:27:06
525,Kabale,-1.2486,29.9899,59.68,77,100,2.53,UG,2022-01-09 23:27:06
526,Sylvan Lake,52.3168,-114.0853,5.65,71,100,12.66,CA,2022-01-09 23:27:07
527,Kuito,-12.3833,16.9333,61.63,96,100,3.62,AO,2022-01-09 23:27:07
528,Saint-Augustin,51.226,-58.6502,25.9,96,94,18.77,CA,2022-01-09 23:27:07
529,Mount Gambier,-37.8333,140.7667,69.71,64,56,6.91,AU,2022-01-09 23:27:08
530,Beni,0.5,29.4667,67.66,74,100,2.06,CD,2022-01-09 23:27:08
531,Catamarca,-28.4696,-65.7852,92.77,37,13,4.0,AR,2022-01-09 23:27:08
532,Carnot,4.9409,15.8665,75.13,27,80,3.22,CF,2022-01-09 23:27:09
533,Cascais,38.6979,-9.4215,57.51,72,84,3.0,PT,2022-01-09 23:27:09
534,Hazaribag,23.9833,85.35,59.47,75,91,2.24,IN,2022-01-09 23:27:09
535,Moose Factory,51.2585,-80.6094,-4.0,71,40,16.11,CA,2022-01-09 23:27:09
536,Cameta,-2.2444,-49.4958,74.95,89,100,3.62,BR,2022-01-09 23:27:10
537,Mimongo,-1.6195,11.6068,70.07,98,88,2.42,GA,2022-01-09 23:27:10
538,Chuka,-0.3332,37.6459,58.12,83,8,5.68,KE,2022-01-09 23:27:10
539,Penha,-26.7694,-48.6458,69.67,94,100,9.22,BR,2022-01-09 23:27:11
540,Bilma,18.6853,12.9164,52.77,24,2,12.84,NE,2022-01-09 23:27:11
541,Dakar,14.6937,-17.4441,76.08,53,100,2.3,SN,2022-01-09 23:22:35
542,Chifeng,42.2683,118.9636,10.36,56,82,2.68,CN,2022-01-09 23:24:16
543,Hokitika,-42.7167,170.9667,66.65,70,93,6.08,NZ,2022-01-09 23:27:11
544,Haicheng,40.8516,122.7475,18.25,62,100,11.25,CN,2022-01-09 23:27:12
545,Fonte Boa,-2.4959,-66.2662,74.98,97,99,3.11,BR,2022-01-09 23:27:12
546,Lamu,-2.2717,40.902,77.22,82,57,11.45,KE,2022-01-09 23:27:12
547,Taoudenni,22.6783,-3.9836,56.91,17,42,11.83,ML,2022-01-09 23:27:13
548,Livadiya,42.8692,132.6764,14.85,43,0,8.16,RU,2022-01-09 23:27:13
549,Onega,63.9061,38.1404,-6.52,100,98,4.18,RU,2022-01-09 23:27:13
550,New Philadelphia,40.4898,-81.4457,37.22,66,100,11.01,US,2022-01-09 23:27:14
551,Hirara,24.8,125.2833,67.86,77,75,14.97,JP,2022-01-09 23:27:14
552,Krasnokholm,51.5979,54.1567,-1.61,91,53,6.35,RU,2022-01-09 23:27:14
553,Chapeco,-27.0964,-52.6183,73.15,46,40,8.05,BR,2022-01-09 23:27:15
554,Traverse City,44.7631,-85.6206,17.71,68,40,12.66,US,2022-01-09 23:28:15
555,Lexington,37.9887,-84.4777,36.72,66,0,1.01,US,2022-01-09 23:23:55
556,Areosa,41.7178,-8.8571,58.26,96,100,8.9,PT,2022-01-09 23:28:15
557,Maple Creek,49.9168,-109.4848,-2.15,65,77,2.3,CA,2022-01-09 23:25:45
558,Oudtshoorn,-33.5907,22.2014,68.36,86,100,3.11,ZA,2022-01-09 23:28:16
559,Maumere,-8.6199,122.2111,80.76,77,99,4.92,ID,2022-01-09 23:28:16
560,Tungor,53.3808,142.9564,-0.02,95,100,28.1,RU,2022-01-09 23:28:16
561,Haines Junction,60.7522,-137.5108,-18.45,76,100,1.14,CA,2022-01-09 23:28:17
562,Tilichiki,60.4667,166.1,-6.03,93,84,7.7,RU,2022-01-09 23:28:17
563,Kottayam,9.5833,76.5167,75.22,95,28,2.68,IN,2022-01-09 23:28:17
564,Moquegua,-17.1956,-70.9353,66.16,78,89,7.96,PE,2022-01-09 23:28:18
565,Riyadh,24.6877,46.7219,55.54,32,3,8.21,SA,2022-01-09 23:28:18
